text,type,cx,cy,x1,y1,x2,y2,width,height
OCB0088055,OCB_BLOCK,4765.7,1578.3,4690.0,1564.4,4841.4,1592.3,151.4,27.9
OUT,PORT,4670.8,1584.2,4662.4,1568.4,4679.2,1600.0,16.7,31.6
D03-526-01,REF_SIGNAL,4079.0,1588.3,4013.0,1574.4,4145.0,1602.3,132.0,27.9
OCB0088010,OCB_BLOCK,1045.7,1598.3,970.0,1584.4,1121.4,1612.3,151.4,27.9
OCB008801D,OCB_BLOCK,2067.8,1598.3,1990.0,1584.4,2145.6,1612.3,155.6,27.9
OCB0088031,OCB_BLOCK,3425.7,1598.3,3350.0,1584.4,3501.4,1612.3,151.4,27.9
Description Defined,OTHER,3688.9,1599.5,3569.0,1584.1,3808.9,1614.8,239.9,30.7
OUT,PORT,950.8,1604.2,942.4,1588.4,959.2,1620.0,16.7,31.6
OUT,PORT,1970.8,1604.2,1962.4,1588.4,1979.2,1620.0,16.7,31.6
OUT,PORT,3330.8,1604.2,3322.4,1588.4,3339.2,1620.0,16.7,31.6
G,PORT,3864.1,1615.2,3852.0,1597.7,3876.3,1632.6,24.3,34.9
SIT2681A,SIGNAL,576.5,1620.3,521.0,1606.4,632.1,1634.3,111.1,27.9
SIT2681B,SIGNAL,1676.5,1620.3,1621.0,1606.4,1732.1,1634.3,111.1,27.9
SIT2681C,SIGNAL,2976.2,1620.3,2920.0,1606.4,3032.5,1634.3,112.5,27.9
3/526,SHEET_REF,4004.4,1632.5,3970.0,1617.1,4038.8,1647.8,68.8,30.7
DH CIRC PP D HYD COUPL,OTHER,4232.1,1634.5,4055.0,1619.1,4409.2,1649.8,354.2,30.7
(D03-526-01),OTHER,3650.8,1635.5,3569.0,1620.1,3732.5,1650.8,163.5,30.7
A,PORT,560.4,1658.2,550.0,1640.7,570.8,1675.6,20.8,34.9
G,PORT,600.1,1658.2,588.0,1640.7,612.3,1675.6,24.3,34.9
A,PORT,1660.4,1658.2,1650.0,1640.7,1670.8,1675.6,20.8,34.9
G,PORT,1700.1,1658.2,1688.0,1640.7,1712.3,1675.6,24.3,34.9
A,PORT,2960.4,1658.2,2950.0,1640.7,2970.8,1675.6,20.8,34.9
G,PORT,3000.1,1658.2,2988.0,1640.7,3012.3,1675.6,24.3,34.9
SPEED P,OTHER,4238.5,1670.5,4179.0,1655.1,4298.0,1685.8,119.0,30.7
I,OTHER,262.2,1672.0,257.0,1651.1,267.4,1692.9,10.4,41.8
A,PORT,339.5,1672.0,327.0,1651.1,352.0,1692.9,25.0,41.8
I,OTHER,2662.2,1672.0,2657.0,1651.1,2667.4,1692.9,10.4,41.8
A,PORT,2739.5,1672.0,2727.0,1651.1,2752.0,1692.9,25.0,41.8
I,OTHER,1422.2,1692.0,1417.0,1671.1,1427.4,1712.9,10.4,41.8
A,PORT,1499.5,1692.0,1487.0,1671.1,1512.0,1712.9,25.0,41.8
"Algorithm point			ALG-0113011

Narrow Band Percent Change			4
Seconds for Full Scale			25
Card Type					SOFT
PCI  Card Number				1
Card Hardware Address			0
Maximum value of the output pt		1200
Minimum value of the output pt		0",OTHER,305.0,1693.5,296.0,1684.5,314.0,1702.5,18.0,18.0
"Algorithm point			ALG-0113033

Narrow Band Percent Change			4
Seconds for Full Scale			25
Card Type					SOFT
PCI  Card Number				1
Card Hardware Address			0
Maximum value of the output pt		1200
Minimum value of the output pt		0",OTHER,2705.0,1693.5,2696.0,1684.5,2714.0,1702.5,18.0,18.0
"Algorithm point			ALG-011305D

Narrow Band Percent Change			4
Seconds for Full Scale			25
Card Type					SOFT
PCI  Card Number				1
Card Hardware Address			0
Maximum value of the output pt		1200
Minimum value of the output pt		0",OTHER,1465.0,1713.5,1456.0,1704.5,1474.0,1722.5,18.0,18.0
FLAG,PORT,4621.5,1729.2,4601.8,1709.4,4641.3,1748.9,39.5,39.5
NO,PORT,4670.8,1732.8,4662.4,1721.5,4679.2,1744.0,16.7,22.5
SIT2681D,SIGNAL,4236.2,1740.3,4180.0,1726.4,4292.5,1754.3,112.5,27.9
OUT,PORT,330.8,1744.2,322.4,1728.4,339.2,1760.0,16.7,31.6
OUT,PORT,2730.8,1744.2,2722.4,1728.4,2739.2,1760.0,16.7,31.6
OUT,PORT,1490.8,1764.2,1482.4,1748.4,1499.2,1780.0,16.7,31.6
FLAG,PORT,901.5,1769.2,881.8,1749.4,921.3,1788.9,39.5,39.5
FLAG,PORT,1921.5,1769.2,1901.8,1749.4,1941.3,1788.9,39.5,39.5
