type,x1,y1,x2,y2,color,width
line,3200.0,1100.0,3300.0,1220.0,"(0.0, 0.0, 0.0)",3.0
line,2490.0,1100.0,2520.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,2600.0,580.0,2620.0,580.0,"(0.0, 0.0, 0.0)",3.0
line,2620.0,580.0,2920.0,580.0,"(0.0, 0.0, 0.0)",3.0
line,2490.0,580.0,2520.0,580.0,"(0.0, 0.0, 0.0)",3.0
line,3020.0,440.0,3040.0,440.0,"(0.0, 0.0, 0.0)",3.0
line,3040.0,440.0,3340.0,440.0,"(0.0, 0.0, 0.0)",3.0
line,3340.0,440.0,3340.0,800.0,"(0.0, 0.0, 0.0)",3.0
line,3020.0,440.0,2980.0,480.0,"(0.0, 0.0, 0.0)",3.0
line,2980.0,480.0,2940.0,440.0,"(0.0, 0.0, 0.0)",3.0
line,2940.0,440.0,2980.0,400.0,"(0.0, 0.0, 0.0)",3.0
line,2980.0,400.0,3020.0,440.0,"(0.0, 0.0, 0.0)",3.0
line,340.0,500.0,340.0,520.0,"(0.0, 0.0, 0.0)",3.0
line,340.0,520.0,344.0,509.0,"(0.0, 0.0, 0.0)",3.0
line,344.0,509.0,336.0,509.0,"(0.0, 0.0, 0.0)",3.0
line,336.0,509.0,340.0,520.0,"(0.0, 0.0, 0.0)",3.0
line,380.0,500.0,380.0,520.0,"(0.0, 0.0, 0.0)",3.0
line,380.0,520.0,384.0,509.0,"(0.0, 0.0, 0.0)",3.0
line,384.0,509.0,376.0,509.0,"(0.0, 0.0, 0.0)",3.0
line,376.0,509.0,380.0,520.0,"(0.0, 0.0, 0.0)",3.0
line,360.0,580.0,360.0,600.0,"(0.0, 0.0, 0.0)",3.0
line,340.0,550.0,380.0,550.0,"(0.0, 0.0, 0.0)",3.0
line,2920.0,580.0,2940.0,580.0,"(0.0, 0.0, 0.0)",3.0
line,2940.0,580.0,2929.0,576.0,"(0.0, 0.0, 0.0)",3.0
line,2929.0,576.0,2929.0,584.0,"(0.0, 0.0, 0.0)",3.0
line,2929.0,584.0,2940.0,580.0,"(0.0, 0.0, 0.0)",3.0
line,3020.0,620.0,3040.0,620.0,"(0.0, 0.0, 0.0)",3.0
line,3040.0,620.0,3200.0,620.0,"(0.0, 0.0, 0.0)",3.0
line,3200.0,620.0,3300.0,820.0,"(0.0, 0.0, 0.0)",3.0
line,2920.0,660.0,2940.0,660.0,"(0.0, 0.0, 0.0)",3.0
line,2940.0,660.0,2929.0,656.0,"(0.0, 0.0, 0.0)",3.0
line,2929.0,656.0,2929.0,664.0,"(0.0, 0.0, 0.0)",3.0
line,2929.0,664.0,2940.0,660.0,"(0.0, 0.0, 0.0)",3.0
line,2940.0,560.0,2940.0,680.0,"(0.0, 0.0, 0.0)",3.0
line,3300.0,820.0,3320.0,840.0,"(0.0, 0.0, 0.0)",3.0
line,3320.0,840.0,3315.0,829.0,"(0.0, 0.0, 0.0)",3.0
line,3315.0,829.0,3309.0,835.0,"(0.0, 0.0, 0.0)",3.0
line,3309.0,835.0,3320.0,840.0,"(0.0, 0.0, 0.0)",3.0
line,3280.0,860.0,3300.0,860.0,"(0.0, 0.0, 0.0)",3.0
line,3300.0,860.0,3289.0,856.0,"(0.0, 0.0, 0.0)",3.0
line,3289.0,856.0,3289.0,864.0,"(0.0, 0.0, 0.0)",3.0
line,3289.0,864.0,3300.0,860.0,"(0.0, 0.0, 0.0)",3.0
line,3340.0,800.0,3340.0,820.0,"(0.0, 0.0, 0.0)",3.0
line,3340.0,820.0,3344.0,809.0,"(0.0, 0.0, 0.0)",3.0
line,3344.0,809.0,3336.0,809.0,"(0.0, 0.0, 0.0)",3.0
line,3336.0,809.0,3340.0,820.0,"(0.0, 0.0, 0.0)",3.0
line,3340.0,900.0,3340.0,920.0,"(0.0, 0.0, 0.0)",3.0
line,3340.0,920.0,3340.0,1200.0,"(0.0, 0.0, 0.0)",3.0
line,3380.0,860.0,3340.0,900.0,"(0.0, 0.0, 0.0)",3.0
line,3340.0,900.0,3300.0,860.0,"(0.0, 0.0, 0.0)",3.0
line,3300.0,860.0,3340.0,820.0,"(0.0, 0.0, 0.0)",3.0
line,3340.0,820.0,3380.0,860.0,"(0.0, 0.0, 0.0)",3.0
line,4660.0,540.0,4660.0,560.0,"(0.0, 0.0, 0.0)",3.0
